question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many gigabytes of training data does Olivia have?,How many gigabytes of training data does Christopher have now?,Christopher has 20 gigabytes of training data. Christopher has 4 gigabytes of training data less than Olivia.,Christopher has 20 gigabytes of training data. Olivia gave Christopher 4 gigabytes of training data.,Christopher has 20 gigabytes of training data. Christopher has 4 gigabytes less training data than Olivia. How many gigabytes of training data does Olivia have?,Christopher has 20 gigabytes of training data. Olivia gave Christopher 4 gigabytes of training data. How many gigabytes of training data does Christopher have now?,24
How many watchs does Abigail have in their collection?,How many watchs does Emily have in total now?,Emily has 15 watchs. Abigail has 13 more watchs than Emily.,Emily has 15 watchs. Abigail gave 13 watchs to Emily.,Emily has 15 watches. Abigail has 13 more watches than Emily. How many watches does Abigail have in her collection?,Emily has 15 watches. Abigail gave 13 watches to Emily. How many watches does Emily have in total now?,28
How many towels does Sofia have in total?,How many towels does Samuel have in total now?,Samuel has 12 towels. Samuel has 6 fewer towels than Sofia.,Samuel has 12 towels. Sofia gave 6 towels to Samuel.,Samuel has 12 towels. Samuel has 6 fewer towels than Sofia. How many towels does Sofia have in total?,Samuel has 12 towels. Sofia gave 6 towels to Samuel. How many towels does Samuel have in total now?,18
What is the number of small plates that Evelyn has?,What is the number of small plates that Daniel has now?,Daniel has 3 small plates. Elijah has 20 more small plates than Daniel. Christian has 4 fewer small plates than Elijah. Christian has 12 fewer small plates than Nicholas. Evelyn has 18 more small plates than Nicholas.,Daniel has 3 small plates. Elijah gave Daniel 20 small plates. Daniel gave Christian 4 small plates. Nicholas gave Daniel 12 small plates. Evelyn gave Daniel 18 small plates.,Daniel has 3 small plates. Elijah has 20 more small plates than Daniel. Christian has 4 fewer small plates than Elijah. Christian has 12 fewer small plates than Nicholas. Evelyn has 18 more small plates than Nicholas. What is the number of small plates that Evelyn has?,Daniel has 3 small plates. Elijah gave Daniel 20 small plates. Daniel gave Christian 4 small plates. Nicholas gave Daniel 12 small plates. Evelyn gave Daniel 18 small plates. What is the total number of small plates that Daniel has now?,49
What is the number of yellow spoons that Isabella has?,What is the number of yellow spoons that Jackson has now?,Jackson has 10 yellow spoons. Jackson has 3 fewer yellow spoons than Liam. Liam has 2 fewer yellow spoons than Isabella.,Jackson has 10 yellow spoons. Liam gave Jackson 3 yellow spoons. Isabella gave Jackson 2 yellow spoons.,Jackson has 10 yellow spoons. Jackson has 3 fewer yellow spoons than Liam. Liam has 2 fewer yellow spoons than Isabella. What is the number of yellow spoons that Isabella has?,Jackson has 10 yellow spoons. Liam gave Jackson 3 yellow spoons. Isabella gave Jackson 2 yellow spoons. What is the total number of yellow spoons that Jackson has now?,15
What is the number of yellow microwaves that Natalie has?,What is the number of yellow microwaves that Harper has now?,Harper has 11 yellow microwaves. Harper has 14 fewer yellow microwaves than Grace. Isabella has 10 fewer yellow microwaves than Grace. Isabella has 3 more yellow microwaves than Jonathan. Natalie has 10 fewer yellow microwaves than Jonathan.,Harper has 11 yellow microwaves. Grace gave Harper 14 yellow microwaves. Harper gave Isabella 10 yellow microwaves. Harper gave Jonathan 3 yellow microwaves. Harper gave Natalie 10 yellow microwaves.,Harper has 11 yellow microwaves. Harper has 14 fewer yellow microwaves than Grace. Isabella has 10 fewer yellow microwaves than Grace. Isabella has 3 more yellow microwaves than Jonathan. Natalie has 10 fewer yellow microwaves than Jonathan. What is the number of yellow microwaves that Natalie has?,Harper has 11 yellow microwaves. Grace gave Harper 14 yellow microwaves. Harper gave Isabella 10 yellow microwaves. Harper gave Jonathan 3 yellow microwaves. Harper gave Natalie 10 yellow microwaves. What is the number of yellow microwaves that Harper has now?,2
How many sofas does Scarlett have?,How many sofas does Chloe have in their collection now?,Chloe has 9 sofas. Jonathan has 18 more sofas than Chloe. Jonathan has 4 fewer sofas than Scarlett.,Chloe has 9 sofas. Jonathan gave Chloe 18 sofas. Scarlett gave Chloe 4 sofas.,Chloe has 9 sofas. Jonathan has 18 more sofas than Chloe. Jonathan has 4 fewer sofas than Scarlett. How many sofas does Scarlett have?,Chloe has 9 sofas. Jonathan gave Chloe 18 sofas. Scarlett gave Chloe 4 sofas. How many sofas does Chloe have in her collection now?,31
How many keys does Grace have in all?,How many keys does Ella have totaled now?,Ella has 12 keys. Liam has 2 fewer keys than Ella. Grace has 13 more keys than Liam.,Ella has 12 keys. Ella gave Liam 2 keys. Grace gave 13 keys to Ella.,Ella has 12 keys. Liam has 2 fewer keys than Ella. Grace has 13 more keys than Liam. How many keys does Grace have in total?,Ella has 12 keys. Ella gave Liam 2 keys. Grace gave 13 keys to Ella. How many keys does Ella have now in total?,23
How many kilograms of gold does Emily have?,How many kilograms of gold does Daniel have now?,Daniel has 2 kilograms of gold. Charlotte has 11 kilograms of gold more than Daniel. Natalie has 15 kilograms of gold more than Charlotte. Nathan has 14 kilograms of gold more than Natalie. Nathan has 11 kilograms of gold less than Emily.,Daniel has 2 kilograms of gold. Charlotte gave Daniel 11 kilograms of gold. Natalie gave Daniel 15 kilograms of gold. Nathan gave Daniel 14 kilograms of gold. Emily gave Daniel 11 kilograms of gold.,Daniel has 2 kilograms of gold. Charlotte has 11 kilograms more gold than Daniel. Natalie has 15 kilograms more gold than Charlotte. Nathan has 14 kilograms more gold than Natalie. Nathan has 11 kilograms less gold than Emily. How many kilograms of gold does Emily have?,Daniel has 2 kilograms of gold. Charlotte gave Daniel 11 kilograms of gold. Natalie gave Daniel 15 kilograms of gold. Nathan gave Daniel 14 kilograms of gold. Emily gave Daniel 11 kilograms of gold. How many kilograms of gold does Daniel have now?,53
How many phones does Joshua have totaled?,How many phones does Alexander have totaled now?,Alexander has 9 phones. Alexander has 14 fewer phones than Daniel. Joshua has 18 more phones than Daniel.,Alexander has 9 phones. Daniel gave 14 phones to Alexander. Joshua gave Alexander 18 phones.,Alexander has 9 phones. Alexander has 14 fewer phones than Daniel. Joshua has 18 more phones than Daniel. How many phones does Joshua have in total?,Alexander has 9 phones. Daniel gave 14 phones to Alexander. Joshua gave Alexander 18 phones. How many phones does Alexander have in total now?,41
How many grams of butter does Joshua have?,How many grams of butter does Liam have now?,Liam has 4 grams of butter. Liam has 4 grams of butter less than Mia. Mia has 12 grams of butter less than Joshua.,Liam has 4 grams of butter. Mia gave Liam 4 grams of butter. Joshua gave Liam 12 grams of butter.,Liam has 4 grams of butter. Liam has 4 grams of butter fewer than Mia. Mia has 12 grams of butter fewer than Joshua. How many grams of butter does Joshua have?,Liam has 4 grams of butter. Mia gave Liam 4 grams of butter. Joshua gave Liam 12 grams of butter. How many grams of butter does Liam have now?,20
How many bottles does Ryan have in all?,How many bottles does Victoria have in their collection now?,Victoria has 18 bottles. Victoria has 11 fewer bottles than Henry. Jacob has 15 more bottles than Henry. Jacob has 8 more bottles than James. James has 8 more bottles than Ryan.,Victoria has 18 bottles. Henry gave 11 bottles to Victoria. Jacob gave Victoria 15 bottles. Victoria gave James 8 bottles. Victoria gave 8 bottles to Ryan.,Victoria has 18 bottles. She has 11 fewer bottles than Henry. Jacob has 15 more bottles than Henry. Jacob has 8 more bottles than James. James has 8 more bottles than Ryan. How many bottles does Ryan have in total?,Victoria has 18 bottles. Henry gave 11 bottles to Victoria. Jacob gave Victoria 15 bottles. Victoria gave James 8 bottles. Victoria gave 8 bottles to Ryan. How many bottles does Victoria have in her collection now?,28
How many towels does Christopher have?,How many towels does Elizabeth have in total now?,Elizabeth has 2 towels. Jackson has 17 more towels than Elizabeth. Mia has 16 fewer towels than Jackson. Mia has 19 fewer towels than Ryan. Ryan has 10 fewer towels than Christopher.,Elizabeth has 2 towels. Jackson gave Elizabeth 17 towels. Elizabeth gave 16 towels to Mia. Ryan gave 19 towels to Elizabeth. Christopher gave Elizabeth 10 towels.,Elizabeth has 2 towels. Jackson has 17 more towels than Elizabeth. Mia has 16 fewer towels than Jackson. Mia has 19 fewer towels than Ryan. Ryan has 10 fewer towels than Christopher. How many towels does Christopher have?,Elizabeth has 2 towels. Jackson gave Elizabeth 17 towels. Elizabeth gave 16 towels to Mia. Ryan gave 19 towels to Elizabeth. Christopher gave Elizabeth 10 towels. How many towels does Elizabeth have in total now?,32
How many beds does Emily have in their collection?,How many beds does Harper have in total now?,Harper has 17 beds. Emily has 12 fewer beds than Harper.,Harper has 17 beds. Harper gave Emily 12 beds.,Harper has 17 beds. Emily has 12 fewer beds than Harper. How many beds does Emily have in her collection?,Harper has 17 beds. Harper gave Emily 12 beds. How many beds does Harper have in total now?,5
How many microwaves does Sophia have?,How many microwaves does Henry have in total now?,Henry has 8 microwaves. Henry has 19 fewer microwaves than Sophia.,Henry has 8 microwaves. Sophia gave 19 microwaves to Henry.,Henry has 8 microwaves. Henry has 19 fewer microwaves than Sophia. How many microwaves does Sophia have?,Henry has 8 microwaves. Sophia gave 19 microwaves to Henry. How many microwaves does Henry have in total now?,27
How many refrigerators does Evelyn have in their collection?,How many refrigerators does Elijah have in all now?,Elijah has 20 refrigerators. Elijah has 3 more refrigerators than Harper. Ella has 2 fewer refrigerators than Harper. Ella has 2 more refrigerators than James. James has 7 more refrigerators than Joshua. Evelyn has 5 fewer refrigerators than Joshua.,Elijah has 20 refrigerators. Elijah gave Harper 3 refrigerators. Elijah gave Ella 2 refrigerators. Elijah gave James 2 refrigerators. Elijah gave Joshua 7 refrigerators. Elijah gave Evelyn 5 refrigerators.,Elijah has 20 refrigerators. Elijah has 3 more refrigerators than Harper. Ella has 2 fewer refrigerators than Harper. Ella has 2 more refrigerators than James. James has 7 more refrigerators than Joshua. Evelyn has 5 fewer refrigerators than Joshua. How many refrigerators does Evelyn have in her collection?,Elijah has 20 refrigerators. Elijah gave Harper 3 refrigerators. Elijah gave Ella 2 refrigerators. Elijah gave James 2 refrigerators. Elijah gave Joshua 7 refrigerators. Elijah gave Evelyn 5 refrigerators. How many refrigerators does Elijah have in total now?,1
How many meters of rope does Lucy have?,How many meters of rope does Ava have now?,Ava has 13 meters of rope. Lucy has 7 meters of rope less than Ava.,Ava has 13 meters of rope. Ava gave Lucy 7 meters of rope.,Ava has 13 meters of rope. Lucy has 7 meters less rope than Ava. How many meters of rope does Lucy have?,Ava has 13 meters of rope. Ava gave Lucy 7 meters of rope. How many meters of rope does Ava have now?,6
How many acres of farmland does Evelyn have?,How many acres of farmland does Victoria have now?,Victoria has 14 acres of farmland. Ava has 17 acres of farmland more than Victoria. Ava has 2 acres of farmland more than Logan. Emily has 8 acres of farmland less than Logan. Evelyn has 10 acres of farmland less than Emily.,Victoria has 14 acres of farmland. Ava gave Victoria 17 acres of farmland. Victoria gave Logan 2 acres of farmland. Victoria gave Emily 8 acres of farmland. Victoria gave Evelyn 10 acres of farmland.,Victoria has 14 acres of farmland. Ava has 17 more acres of farmland than Victoria. Ava has 2 more acres of farmland than Logan. Emily has 8 fewer acres of farmland than Logan. Evelyn has 10 fewer acres of farmland than Emily. How many acres of farmland does Evelyn have?,Victoria has 14 acres of farmland. Ava gave Victoria 17 acres of farmland. Victoria gave Logan 2 acres of farmland. Victoria gave Emily 8 acres of farmland. Victoria gave Evelyn 10 acres of farmland. How many acres of farmland does Victoria have now?,11
